date,model,price,mall,link
2026-07-16,캐논 MG3090,67470,쿠팡,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=50469084&ctag=50469084&lptag=U91945559680&itemId=177921906&vendorItemId=91945559680&spec=10305197
2026-07-16,캐논 MG3090WH,78900,현대Hmall,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2234937868&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale
2026-07-16,캐논 TS3490,80000,쿠팡,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=6113232060&ctag=6113232060&lptag=V92155639869&itemId=11535589717&vendorItemId=92155639869&spec=10305199
2026-07-16,캐논 TS3492,71900,쿠팡,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=6113232060&ctag=6113232060&lptag=U92085847349&itemId=11712313378&vendorItemId=92085847349&spec=10305197
2026-07-16,캐논 TS7790,137900,지티기어,https://smartstore.naver.com/main/products/11489784635
2026-07-16,캐논 TS7790A,158900,지티기어,https://smartstore.naver.com/main/products/11489784361
2026-07-16,캐논 TS3690,84900,주식회사 인스토어,https://smartstore.naver.com/main/products/10380311856
2026-07-16,캐논 TS3691,76480,쿠팡,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8278862645&ctag=8278862645&lptag=U94345031536&itemId=24461729819&vendorItemId=94345031536&spec=10305197
2026-07-16,캐논 TS4090,129900,지티기어,https://smartstore.naver.com/main/products/12850630863
2026-07-16,캐논 TS4091,129900,지티기어,https://smartstore.naver.com/main/products/12850630551
